site_id,cancellation_ratio
US-Tw4,3.9122196867478145
US-Tw5,3.9122196867478145
US-Twt,3.9122196867478145
US-Uaf,1.8897056638605576
US-UC1,1.9032652859272092
US-UC2,3.0434682439084435
US-UiA,5.742865266967853
US-UiB,5.742865266967853
US-UiC,5.742865266967853
US-UiD,5.742865266967853
US-UiE,5.742865266967853
US-UiF,5.742865266967853
US-UiG,5.742865266967853
US-UMd,3.612110115183356
US-UTB,7.004925499087787
US-UTV,5.045259431743997
US-UTW,10.731692539209416
US-Var,3.995444113542195
US-Vcm,4.625466939878918
US-Vcp,4.625466939878918
US-VT1,13.395153935917007
US-VT2,13.395153935917007
US-WCr,1.7525280866646258
US-Whs,13.22432259405134
US-Wjs,11.31442184277137
US-Wkg,6.863723441683096
US-WPT,7.498277300205711
US-WT1,36.92964804366476
US-xAB,3.2443158781005272
US-xAE,6.380580650709261
US-xBL,1.553034735392299
US-xBN,2.4121772833442434
US-xBR,1.4084640848848125
US-xCL,2.8378184070431445
US-xCP,3.4213544538765035
US-xDC,8.387006777366288
US-xDJ,2.563848807967097
US-xDL,1.7699952963205783
US-xDS,9.688863023242023
US-xGR,1.825142477265008
US-xHA,1.4161658294351358
US-xHE,7.2837321308147915
US-xJE,1.7726767540750243
US-xJR,13.695028920426234
US-xKA,2.131176802675122
US-xKZ,2.131176802675122
US-xLE,1.8754861403083583
US-xMB,6.7176484849726705
US-xML,1.8899000909056691
US-xNG,4.008024523268123
US-xNQ,7.773977147585906
US-xPU,1.8800488191522886
US-xRM,1.6384355927860417
US-xRN,2.142709488565049
US-xSB,2.011329671912487
US-xSC,1.840975849009218
US-xSE,3.286417889795167
US-xSJ,5.177800490930216
US-xSL,5.307361469332017
US-xSP,3.825395458202215
US-xSR,13.205885681888244
US-xST,1.2838980320852436
US-xTE,3.825395458202215
US-xTL,7.230472565361232
US-xTR,1.6862457101069446
US-xUK,2.1419912024792644
US-xUN,1.5079951115410843
US-xWD,8.387006777366288
US-xWR,3.7781681871765267
US-xYE,1.7230907560045816
US-YK2,2.1946971107819033
US-ZF1,12.009727979185197
US-ZF2,12.009727979185197
ZA-Uby,10.018855020084175
ZA-Spk,10.826899540464762
ZA-BfS,8.354617604141703
ZA-BfK,8.354617604141703
KR-WdE,1.508015827132696
KR-UAO,1.4038713790374713
KR-TwC,1.2802386787385083
KR-SmM,1.4158035197565781
KR-ScC,1.5121117477263306
KR-PcD,1.4287881830160405
KR-Nj2,1.5898938414093953
KR-Nj1,1.5898938414093953
KR-Kw2,1.6066602293548604
KR-Kw1,1.6066602293548604
KR-JjM,1.8151528255955627
KR-Hnm,1.4156471383704712
KR-HcM,1.556700297392507
KR-HPK,1.867874474673975
KR-GmS,1.3966152714698248
KR-GmR,1.3966152714698248
KR-GmP,1.3966152714698248
KR-CmF,1.2762496432754664
KR-CRK,1.7927882169127611
KR-AdC,1.5369458256310147
TH-Mae,3.047492823165515
TH-Kog,1.7401092898651938
MY-LHP,1.4973717617419935
MN-Nkh,3.211585007228515
MN-Kbu,3.2298851284808703
MN-Hst,2.492232878400892
KH-Kmp,6.3113072694093955
JP-Ynf,1.8300871080377001
JP-Yms,1.4703517472210759
JP-Toc,1.46505621676942
JP-Tmk,1.46505621676942
JP-Tmd,1.46505621676942
JP-Tgf,1.3584725768201433
JP-Tef,1.2726907290109413
JP-Tak,1.2252967607879353
JP-Ta2,1.2252967607879353
JP-Srk,1.6131582116463759
JP-Spp,1.2550507049222643
JP-Shn,1.1310847028602715
JP-SMF,1.4399932354096472
JP-Om2,1.4703517472210759
JP-Nuf,1.160902955285834
JP-NsM,1.2976213322516734
JP-NsC,1.2976213322516734
JP-Mse,1.3584725768201433
JP-MMF,1.2435075358443983
JP-MBF,1.2435075358443983
JP-Kzw,1.1549893489168537
JP-Khw,1.3274778256912727
JP-Hc3,1.5964393475338428
JP-Fmt,1.2205339663789971
JP-Fjy,1.2286657903400664
JP-Fhk,1.2286657903400664
JP-Api,1.30821907804209
ID-Pag,4.636741481347333
ID-PaD,2.2132185327898637
ID-PaB,2.2132185327898637
CN-Lsh,4.491634405189548
CN-HaM,1.6802984416310718
UK-AMo,1.7626105400137189
SE-Svb,2.1805390009405667
SE-Sto,1.7660123379160122
SE-Nor,1.494177345248665
SE-Htm,1.636601893217706
SE-Deg,2.1805390009405667
NO-Hur,1.2650190316844216
NL-Loo,2.4596227657481284
IT-TrF,1.3987706148232102
IT-Tor,1.3987706148232102
IT-SR2,3.234007954883819
IT-Ren,1.3486189475459704
IT-Noe,1.947163275613414
IT-MBo,1.4570703709983406
IT-Lsn,2.467626846140303
IT-Cp2,3.091162841746879
IT-BFt,3.0385751044781357
IT-BCi,2.513209211496204
IE-Cra,1.7961825023410583
GL-Dsk,11.179333600650974
GF-Guy,4.005154959512678
FR-Tou,3.8542800318131336
FR-Pue,3.3888759244404953
FR-Mej,2.0094900183992914
FR-Lus,2.77853925925775
FR-Lqu,2.259601991800379
FR-Lam,3.106304106211763
FR-LGt,2.765919876854031
FR-Hes,2.4871406265316645
FR-Gri,2.4456104393997737
FR-Fon,2.636199322913492
FR-FBn,20.73899280826491
FR-EM2,2.2483635421197685
FR-CLt,3.4389393794400243
FR-Bil,5.7714029660457244
FR-Aur,3.8542800318131336
FI-Var,1.698209731193796
FI-Sod,3.6130660793443656
FI-Sii,1.5221142852332243
FI-Let,1.991539984297756
FI-Ken,2.830803097139634
FI-Hyy,1.5221142852332243
FI-Ant,1.7734186316806382
ES-LMa,3.168748203709663
DK-Vng,4.60292705378847
DK-Sor,3.361442558535291
DK-Skj,3.6162055751434665
DK-RCW,5.795493092228136
DK-Gds,4.60292705378847
DE-Tha,1.8291354305474428
DE-RuS,3.017589658844275
DE-RuR,3.017589658844275
DE-Msr,1.802693575308638
DE-Kli,1.8291354305474428
DE-RuW,3.017589658844275
DE-Hzd,1.8633655655525712
DE-HoH,2.14965626933194
DE-Har,3.0945990489685853
DE-Hai,2.737634435871221
DE-Gwg,1.802693575308638
DE-GsB,2.14965626933194
DE-Gri,1.8291354305474428
DE-Geb,3.2693303202464175
DE-Fen,1.802693575308638
DE-Brs,2.1308166307668777
DE-Amv,2.6951177258684442
